Project_ID,Start_Date,End_Date,Duration_Days,Team_Size,Budget_USD,Complexity,Client_Satisfaction,Project_Success
P0430,2022-11-01,2023-10-31,364,27,120091,High,8,0
P0431,2022-10-21,2023-06-10,232,48,142632,Low,6,0
P0432,2022-10-19,2022-12-13,55,43,351292,High,4,0
P0433,2021-04-30,2021-11-18,202,19,93186,Medium,5,1
P0434,2022-08-27,2023-07-22,329,8,429961,Low,8,1
P0435,2021-02-27,2021-08-08,162,33,172962,Low,3,0
P0436,2021-12-12,2022-12-02,355,26,161094,Medium,3,1
P0437,2022-04-19,2022-09-13,147,29,395773,Medium,4,0
P0438,2021-04-27,2022-04-15,353,17,455795,High,1,0
P0439,2021-05-07,2022-03-07,304,22,80316,Low,9,1
P0440,2022-01-28,2022-09-26,241,37,487063,Low,8,0
P0441,2022-10-03,2023-06-14,254,20,38380,Medium,8,0
P0442,2021-02-27,2021-04-17,49,49,120198,Low,10,1
P0443,2022-09-26,2023-02-15,142,46,274500,Medium,6,1
P0444,2022-05-28,2022-11-13,169,48,80326,High,7,0
P0445,2021-04-06,2021-06-21,76,6,364591,High,6,0
P0446,2022-09-30,2022-10-30,30,39,124994,High,9,1
P0447,2021-04-28,2021-08-25,119,46,230971,Medium,3,1
P0448,2022-07-14,2023-01-01,171,38,292193,Low,3,0
P0449,2022-08-24,2023-08-08,349,34,478933,Medium,3,1
P0450,2022-05-03,2022-07-09,67,17,377505,Medium,10,1
P0451,2021-08-25,2022-07-13,322,17,288226,High,3,0
P0452,2021-09-29,2022-03-16,168,22,272805,Low,9,1
P0453,2021-07-08,2022-07-05,362,36,178484,Medium,4,1
P0454,2022-12-05,2023-09-19,288,36,275064,Low,7,1
P0455,2022-03-23,2022-09-29,190,39,494410,Medium,9,1
P0456,2022-08-04,2023-02-27,207,43,255378,High,7,1
P0457,2021-09-04,2021-10-13,39,33,463531,Medium,9,1
P0458,2021-03-17,2022-01-01,290,33,351705,Low,3,1
P0459,2021-06-03,2021-11-17,167,48,281090,High,4,0
P0460,2022-10-18,2023-05-07,201,20,235314,Medium,8,1
P0461,2022-03-11,2022-04-22,42,48,448716,Low,6,1
P0462,2021-03-27,2021-10-10,197,14,245612,Low,5,1
P0463,2022-11-28,2023-05-06,159,34,288453,Low,4,1
P0464,2021-10-12,2022-02-02,113,29,65230,Low,8,0
P0465,2021-08-08,2022-07-24,350,43,383966,High,1,0
P0466,2021-03-10,2022-02-21,348,24,433243,Medium,9,1
P0467,2021-02-16,2021-06-26,130,9,475757,High,1,1
P0468,2021-04-04,2022-03-28,358,5,384484,Low,8,1
P0469,2022-03-29,2023-01-25,302,34,69321,Low,4,1
P0470,2021-07-23,2022-05-13,294,7,142028,Medium,9,0
P0471,2021-08-06,2021-10-12,67,49,241447,Low,5,1
P0472,2022-04-19,2022-08-20,123,18,346275,Medium,3,0
P0473,2022-03-08,2022-07-10,124,34,451124,High,9,1
P0474,2021-12-07,2022-11-06,334,8,481555,Medium,9,0
P0475,2022-07-05,2022-10-11,98,22,298107,Medium,4,0
P0476,2022-09-04,2023-08-17,347,41,111757,Low,4,1
P0477,2021-10-16,2022-07-08,265,29,442659,Low,8,1
P0478,2021-09-11,2022-09-09,363,5,371403,Low,2,0
P0479,2021-12-23,2022-06-07,166,19,311207,Medium,9,1
P0480,2021-01-23,2021-05-08,105,13,386369,Low,6,0
P0481,2022-06-06,2022-08-09,64,19,388544,Low,9,1
P0482,2021-04-10,2021-05-10,30,28,352962,Medium,8,1
P0483,2021-06-29,2022-05-20,325,8,276847,Low,7,0
P0484,2021-08-11,2022-07-26,349,16,206200,Low,1,0
P0485,2022-10-21,2023-01-18,89,41,82099,Low,3,0
P0486,2022-03-18,2023-03-02,349,41,429065,High,2,0
P0487,2022-08-31,2023-08-23,357,47,172932,Medium,5,1
P0488,2021-11-21,2022-09-13,296,10,41585,Medium,5,1
P0489,2022-05-31,2023-02-13,258,43,425231,Low,5,1
P0490,2021-01-16,2021-11-11,299,28,480755,High,4,0
P0491,2021-12-02,2022-11-12,345,15,53585,Medium,5,1
P0492,2021-09-15,2022-07-27,315,17,299102,Low,3,1
P0493,2022-05-12,2023-03-28,320,38,298161,High,1,1
P0494,2021-06-09,2022-02-06,242,29,479923,Low,5,0
P0495,2022-04-20,2022-10-31,194,11,396821,Medium,9,1
P0496,2022-10-26,2022-11-29,34,8,448566,Medium,9,0
P0497,2022-11-21,2023-03-08,107,12,415417,Low,4,1
P0498,2022-11-06,2023-02-05,91,24,301570,High,3,1
P0499,2022-01-15,2022-06-25,161,33,289922,Medium,1,0
